countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,1.05148E-06,Asia,,,,Guernsey,1.68579E-05,,Myanmar,7.18501E-06,83,,Chile,0.000106196,,,,,,,
Afghanistan,2.6024E-06,Asia,,,,Guinea,3.8466E-06,,Northern_Mariana_Islands,7.77589E-06,84,,America,0.000106196,,,,,,,
Afghanistan,1.97152E-06,Asia,,,,Guinea_Bissau,4.92739E-06,,Mauritania,7.92102E-06,85,,China,1.85877E-07,,,,,,,
Afghanistan,9.20042E-07,Asia,,,,Guyana,2.69696E-05,,Uruguay,8.35163E-06,86,,Asia,1.85877E-07,,,,,,,
Afghanistan,8.93755E-07,Asia,,,,Haiti,3.14569E-06,,Uzbekistan,8.38045E-06,87,,Colombia,0.000100385,,,,,,,
Afghanistan,7.36033E-07,Asia,,,,Holy_See,0.000118155,,British_Virgin_Islands,9.42116E-06,88,,America,0.000100385,,,,,,,
Afghanistan,6.30886E-07,Asia,,,,Honduras,4.24713E-05,,Montserrat,9.90376E-06,89,,Comoros,3.26632E-06,,,,,,,
Afghanistan,6.83459E-07,Asia,,,,Hungary,9.52058E-05,,Bangladesh,1.09477E-05,90,,Africa,3.26632E-06,,,,,,,
Afghanistan,2.52354E-06,Asia,,,,Iceland,4.47054E-05,,Philippines,1.20101E-05,91,,Congo,3.98934E-06,,,,,,,
Afghanistan,1.94523E-06,Asia,,,,India,2.07125E-05,,Venezuela,1.37384E-05,92,,Africa,3.98934E-06,,,,,,,
Afghanistan,5.25738E-07,Asia,,,,Indonesia,6.41558E-06,,Jamaica,1.40548E-05,93,,Costa_Rica,0.000105445,,,,,,,
Afghanistan,4.2059E-07,Asia,,,,Iran,3.71399E-05,,Equatorial_Guinea,1.41103E-05,94,,America,0.000105445,,,,,,,
Afghanistan,1.18291E-06,Asia,,,,Iraq,4.21366E-05,,Finland,1.50095E-05,95,,Cote_dIvoire,3.08687E-06,,,,,,,
Afghanistan,9.98902E-07,Asia,,,,Ireland,4.43966E-05,,Gabon,1.57583E-05,96,,Africa,3.08687E-06,,,,,,,
Afghanistan,2.36582E-07,Asia,,,,Isle_of_Man,1.65685E-05,,Isle_of_Man,1.65685E-05,97,,Croatia,0.000111079,,,,,,,
Afghanistan,8.93755E-07,Asia,,,,Israel,0.000119771,,Guernsey,1.68579E-05,98,,Europe,0.000111079,,,,,,,
Afghanistan,4.99451E-07,Asia,,,,Italy,8.43925E-05,,Cayman_Islands,1.69076E-05,99,,Cuba,2.93526E-06,,,,,,,
Afghanistan,7.88607E-08,Asia,,,,Jamaica,1.40548E-05,,Trinidad_and_Tobago,1.78741E-05,100,,America,2.93526E-06,,,,,,,
Afghanistan,2.89156E-07,Asia,,,,Japan,3.78917E-06,,Sao_Tome_and_Principe,1.9075E-05,101,,Cura̤ao,7.44138E-05,,,,,,,
Afghanistan,7.88607E-08,Asia,,,,Jersey,5.11098E-05,,Bermuda,1.9922E-05,102,,America,7.44138E-05,,,,,,,
Afghanistan,1.44578E-06,Asia,,,,Jordan,8.99423E-05,,Falkland_Islands_(Malvinas),2.01661E-05,103,,Cyprus,5.5562E-05,,,,,,,
Afghanistan,2.62869E-08,Asia,,,,Kazakhstan,3.62797E-05,,Botswana,2.06885E-05,104,,Europe,5.5562E-05,,,,,,,
Afghanistan,1.86637E-06,Asia,,,,Kenya,6.25371E-06,,India,2.07125E-05,105,,Czechia,0.000151579,,,,,,,
Afghanistan,0,Asia,,,,Kosovo,9.00317E-05,,Norway,2.10545E-05,106,,Europe,0.000151579,,,,,,,
Afghanistan,2.76012E-06,Asia,,,,Kuwait,0.000100708,,Eswatini,2.11712E-05,107,,Democratic_Republic_of_the_Congo,5.86351E-07,,,,,,,
Afghanistan,9.98902E-07,Asia,,,,Kyrgyzstan,4.45396E-05,,Djibouti,2.20647E-05,108,,Africa,5.86351E-07,,,,,,,
Afghanistan,2.54983E-06,Asia,,,,Laos,2.1995E-08,,Namibia,2.27135E-05,109,,Denmark,4.73262E-05,,,,,,,
